image_path,prompt,iou,dice
data/dataset1/valid/images/IMG_8209_JPG_jpg.rf.9708528ec9470625849940f74163f0b9.jpg,segment joint tape,0.0,0.0
data/dataset1/valid/images/IMG_8236_JPG_jpg.rf.b9ba4c8108e53ad9190bd206bd152222.jpg,segment wall joint,0.0,0.0
data/dataset1/valid/images/IMG_8240_JPG_jpg.rf.b0dd50e6eea3493272fc08b994aa4b00.jpg,segment taping area,0.0,0.0
data/dataset1/valid/images/IMG_8215_JPG_jpg.rf.32485d4242655d76a738485320062875.jpg,segment joint tape,0.0,0.0
data/dataset1/valid/images/IMG_20220627_111157-jpg_1500x2000_jpg.rf.15e954710c87a23aac3fd0efd63d42ad.jpg,segment wall joint,0.0,0.0
data/dataset1/valid/images/IMG_8260_JPG_jpg.rf.97d0e1ab6902a50b19968f62881afb39.jpg,segment wall joint,0.0,0.0
data/dataset1/valid/images/IMG_8310_JPG_jpg.rf.c97cb2fe40959e5ae81f31f8649e5af7.jpg,segment joint tape,0.0,0.0
data/dataset1/valid/images/IMG_8253_JPG_jpg.rf.8ba47d3e689991262cf8b0bcb88b43a7.jpg,segment drywall seam,0.0,0.0
data/dataset1/valid/images/2000x1500_79_resized_jpg.rf.6aa6406a7eeb5d931efbea81683a988f.jpg,segment drywall seam,0.0,0.0
data/dataset1/valid/images/IMG_8215_JPG_jpg.rf.41b1a5a857cdb348bd20b24b99494cfb.jpg,segment joint tape,0.0,0.0
data/dataset1/valid/images/IMG_8320_JPG_jpg.rf.b9ff5b2cf28214bdfa6d5323a12d63c1.jpg,segment drywall seam,0.0,0.0
data/dataset1/valid/images/2000x1500_17_resized_jpg.rf.6311a3547b09f18a1ac77b1378021679.jpg,segment taping area,0.0,0.0
data/dataset1/valid/images/IMG_8273_JPG_jpg.rf.f2605e61b2d4419457925237c5816d9a.jpg,segment wall joint,0.0,0.0
data/dataset1/valid/images/IMG_8288_JPG_jpg.rf.91937389f00cd024867603683111eb40.jpg,segment taping area,0.0,0.0
