image_path,prompt,iou,dice
data/dataset1/valid/images/2000x1500_49_resized_jpg.rf.5a49bcca9a727b5c86facefc31ff8aad.jpg,segment taping area,1.0,1.0
data/dataset1/valid/images/2000x1500_69_resized_jpg.rf.c0efdc46bdf9c4ef4edf3a4fe113f0be.jpg,segment taping area,1.0,1.0
data/dataset1/valid/images/IMG_8227_JPG_jpg.rf.b3abc29c891a54b66752e8ed1cb0e95d.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_8228_JPG_jpg.rf.543bbbf77c5b8d16ef1d9bae0659ecec.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_8234_JPG_jpg.rf.4673c3a74a4555f01b88d4e72fef2f6e.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_8234_JPG_jpg.rf.ff24e674f4e0d61c21a751f148358056.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_8228_JPG_jpg.rf.ac99d09fdf27b8f26b89c54ecedd09fe.jpg,segment taping area,1.0,1.0
data/dataset1/valid/images/2000x1500_49_resized_jpg.rf.329c177578c72a3afd4c53fdd0ed163a.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_8228_JPG_jpg.rf.4ceddcd74a24bf78c0f16403ba7a86ed.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/2000x1500_5_resized_jpg.rf.b3496b2bfd2dba6398750574e06a7b66.jpg,segment wall joint,1.0,1.0
data/dataset1/valid/images/IMG_8229_JPG_jpg.rf.bbbbdbbeb79877498a2d1c0ea3e0f1e3.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_8228_JPG_jpg.rf.8cc01631ad758ebc96fe0d814ec6586c.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/2000x1500_66_resized_jpg.rf.5681e98ac3d5612547548cfff5ee60c1.jpg,segment taping area,1.0,1.0
data/dataset1/valid/images/2000x1500_73_resized_jpg.rf.42b8d9fc16ee236b0cca1aed1443180f.jpg,segment taping area,1.0,1.0
data/dataset1/valid/images/2000x1500_67_resized_jpg.rf.2dccd9b5c24c7b7929893f2f87ec5955.jpg,segment taping area,1.0,1.0
data/dataset1/valid/images/2000x1500_73_resized_jpg.rf.b5450cbab84258d9219d828cb220f867.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/2000x1500_5_resized_jpg.rf.0ef9f445adcd1ffdab2df7ac3cb22d6a.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/2000x1500_73_resized_jpg.rf.877c85043ea55b7f16882e29a59c90fe.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/2000x1500_72_resized_jpg.rf.9d72a196b996aa42d7c0ca7225ea8388.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/2000x1500_66_resized_jpg.rf.32363cdedbc8c66d94973f3820f82011.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/2000x1500_73_resized_jpg.rf.c28dcb713a902cc92bcd85a1619ae0b7.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/2000x1500_67_resized_jpg.rf.95d2423b6154d7d8872d4841c160d560.jpg,segment taping area,1.0,1.0
data/dataset1/valid/images/2000x1500_78_resized_jpg.rf.ba48730811f41561ca9c7facdd3d6e57.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/IMG_20220627_111249-jpg_1500x2000_jpg.rf.f0811884fde66b56d0f03755811dfe1b.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_20220627_111149-jpg_1500x2000_jpg.rf.d0c2561e4fcd834d3a204131d3a7350f.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_8204_JPG_jpg.rf.4a6a23834ca8c6ccaed0a7dedd78f635.jpg,segment taping area,1.0,1.0
data/dataset1/valid/images/IMG_8204_JPG_jpg.rf.8158a2896383ebb214f4a30d328e56ae.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/2000x1500_80_resized_jpg.rf.64ba74d1cd99c6b42c90da7eac5c4565.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_8210_JPG_jpg.rf.3d4fcd0d713b5ef891cf53dfdaf98880.jpg,segment taping area,1.0,1.0
data/dataset1/valid/images/IMG_20220627_111655-jpg_1500x2000_jpg.rf.d30b32f311cecda1ea757a3d74717099.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/2000x1500_76_resized_jpg.rf.22d7b6fef21fc342515f1fb5a9bb50f7.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_8204_JPG_jpg.rf.fbcfb74e570635f48aed0dc733d974c9.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/IMG_8203_JPG_jpg.rf.f22cb849466042c6d65ca9bc292fef6b.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/IMG_8204_JPG_jpg.rf.7436c7ab9be9beb51c04e293ecaf0bac.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_8204_JPG_jpg.rf.eb939ed0db596eb07a50eb64b8f9748f.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/IMG_8213_JPG_jpg.rf.396dc9a192aaafa230c8bed17b713226.jpg,segment taping area,1.0,1.0
data/dataset1/valid/images/IMG_8210_JPG_jpg.rf.8eab3f6fb0de219ac2bb37730424a39f.jpg,segment wall joint,1.0,1.0
data/dataset1/valid/images/IMG_8210_JPG_jpg.rf.c419c43eb83fb6ce61db48dc9e901133.jpg,segment taping area,1.0,1.0
data/dataset1/valid/images/IMG_8206_JPG_jpg.rf.19652d86564a4773485e4a0bd6628fc5.jpg,segment taping area,1.0,1.0
data/dataset1/valid/images/IMG_8204_JPG_jpg.rf.b9e69ab8fd480a4e0bb76508a50001fd.jpg,segment taping area,1.0,1.0
data/dataset1/valid/images/IMG_8213_JPG_jpg.rf.5889420816d267990c8649aa0d05ea51.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_8205_JPG_jpg.rf.9f2a3f791ed500074c2f8d9faba8b364.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/IMG_8206_JPG_jpg.rf.a0167bd853bdde2c29b179eeda192b0b.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/IMG_8212_JPG_jpg.rf.ac68e4974daefd4d661d536fa4b527fe.jpg,segment wall joint,1.0,1.0
data/dataset1/valid/images/IMG_8213_JPG_jpg.rf.c209051fa343264c56be7c6909add598.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_8218_JPG_jpg.rf.a6b1da868df8412ceb09cd905448e203.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_8217_JPG_jpg.rf.2266b92a6b7261778c8b67daaa5135a5.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/IMG_8206_JPG_jpg.rf.439b7a9f5bd1694228da4435142ad2ec.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/IMG_8218_JPG_jpg.rf.f6c72435ed210c0fd2edc4cdc333ca5e.jpg,segment drywall seam,1.0,1.0
data/dataset1/valid/images/IMG_8218_JPG_jpg.rf.b11a89fe69953a5e985cd8596dad7d8e.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/IMG_8218_JPG_jpg.rf.cbe8660874cd8ffa9bba784e0b4cb5fc.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/IMG_8224_JPG_jpg.rf.cbb821882ec4976fa62d4309a2c82fd4.jpg,segment joint tape,1.0,1.0
data/dataset1/valid/images/IMG_8218_JPG_jpg.rf.ea45fb61b91d0cbd8cc70ac9a9e27208.jpg,segment wall joint,1.0,1.0
data/dataset1/valid/images/IMG_8217_JPG_jpg.rf.63e7270f489c4035943abdd894698d02.jpg,segment joint tape,1.0,1.0
